title,images,url,price,time,person_type,city,metro,address,nedvigimost_type,source,listing_type,total_area_sale,km_do_metro,region,city1,coords_lat,coords_lng,ad_type,object_type,total_area,floor,total_floors,property_type_rent,total_area_rent,floor_rent,year,building_type,room_floor,room_total_area,room_category,building_parking,room_finish,room_entrance,room_deposit,time_source_created,time_source_updated,is_actual,floor_sale,property_type_sale,district_only,metro_only,price_per_m2_rent,price_per_m2_sale,city_lng,city_lat,dist_km,price_per_sqm,month
Помещение свободного назначения (41 м²),"[{'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14333116/add.fbb5652e32990d634ffe615588952b89.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/10501146/add.8017d32f8fb7c71b8e2092662bc6f9c7.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/12738695/add.733efab0fdf8c596a336b617f6f3624a.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14896786/add.9077bb3d38b8f4530f17349cfc0a01b0.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/15116930/add.494717a41f1f72f5b1b7e39ee4ac1787.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/9897712/add.60901effdb43abf6778ff67f557ac4f4.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/9897712/add.b069a31ce9d23c09bad47efac73b50ea.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14896786/add.6b703454363fe4e5a24de1233e803fe5.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14373170/add.8d075a4be2a260fecd6f289e4a7f8e04.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/12738695/add.7af3b7dc3d22630f1589a79c91e9fdbb.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14824781/add.48cda28fa1a29fc63cadd804ebb3df64.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14546183/add.574da685e30b71397035740b9542d360.realty-api-vos/large'}]",https://realty.ya.ru/offer/4820993227698356736/,82000.0,2025-01-07 17:04:06,Частное лицо,Башкортостан,,"Центральная улица, 221к2",Сдам,realty.yandex.ru,Сдам,,0.0,Башкортостан,село Зубово,54.63121,55.920387,Сдам,Помещение свободного назначения,41.0,1.0,1.0,Помещение свободного назначения,41.0,1.0,2025.0,,,,,,,,,2025-01-07 17:13:34,2025-01-07 17:13:34,1.0,,,,,2000.0,,54.5582614,35.4780986,2132.313786884129,2000.0,1
Торговая площадь (61 м²),"[{'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14804480/add.bf3b00dbda0f37581f1ff06d68df449f.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/10501146/add.aa9e12425480895de15b48aacefa1286.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/15116930/add.e41005e21e1780e2d57b589ffa3a9c4e.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/15106371/add.2acca7b79cf2bf88379cf824992ccddc.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/15174711/add.304e213fd26558464bee018be1bd8376.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/10501146/add.ba20386942a5434d77838519e7f737db.realty-api-vos/large'}]",https://realty.ya.ru/offer/5178396587301088256/,61000.0,2025-01-07 17:01:02,Частное лицо,Башкортостан,,"улица Горького, 2/3",Сдам,realty.yandex.ru,Сдам,,0.0,Башкортостан,село Иглино,54.819454,56.378628,Сдам,Торговое помещение,61.0,1.0,1.0,Торговое помещение,61.0,1.0,2025.0,,,,,,,,,2025-01-07 16:57:14,2025-01-07 16:57:14,1.0,,,,,1000.0,,,,,1000.0,1
Торговая площадь (71 м²),"[{'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14202382/add.4b72725789fd476d6951eb78f3d431e6.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/10501146/add.912d1425b745fe221d7b1227f355cb94.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14293020/add.c0ee4b4528389aea204515e16b2ea062.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14819877/add.cd806fcd50ecc1c8673fea7eaae4d4bf.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/9897712/add.071067699511c18967231a0f22de3497.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14546183/add.79ef905fbf8eb0ded29196dbea227ccf.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/13814138/add.03385a9b9621738a290452fdc18e4541.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/15106371/add.3d53ccc5fc56a3ae0489ff2e34d6807a.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/15209291/add.e04a53ea98b79b1b970675dc030772dd.realty-api-vos/large'}]",https://realty.ya.ru/offer/8783530361499288064/,163300.0,2025-01-07 17:01:01,Частное лицо,Башкортостан,,"улица Цюрупы, 85",Сдам,realty.yandex.ru,Сдам,,0.0,Башкортостан,Уфа,54.73207,55.95604,Сдам,Торговое помещение,71.0,1.0,9.0,Торговое помещение,71.0,1.0,2025.0,,,,,,,,,2025-01-07 17:05:20,2025-01-07 17:05:20,1.0,,,,,2300.0,,55.947499,54.7261409,0.8575591959290083,2300.0,1
Торговая площадь (60 м²),"[{'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14789446/add.2a75762122116d8dd34bfe40826b3fe7.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14727395/add.f455eb2b858d8efdf1e16ab86c16f5bd.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/9896606/add.77021b19c8aeb80db041217a8c2fef21.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14789446/add.d2d21ef652fb86eb4d3e7f47d0b1a442.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/15106371/add.98db0af696af9eabc389eb259353831a.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14918062/add.7a7af321935bdbf9e837c658cab1c4de.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/15239606/add.951bf6a00a098acd724485cde974f7cc.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14333116/add.0dfb3a620ffea424d87213f50b7c1dd0.realty-api-vos/large'}]",https://realty.ya.ru/offer/2993700433249123328/,84000.0,2025-01-07 17:01:01,Частное лицо,Башкортостан,,"улица Ворошилова, 28",Сдам,realty.yandex.ru,Сдам,,0.0,Башкортостан,село Иглино,54.817345,56.396633,Сдам,Торговое помещение,60.0,1.0,1.0,Торговое помещение,60.0,1.0,2025.0,,,,,,,,,2025-01-07 17:00:50,2025-01-07 17:00:50,1.0,,,,,1400.0,,,,,1400.0,1
Торговая площадь (50 м²),"[{'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/15229691/add.633e748d5fa932d09c49e700d7bf9dd5.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/10159064/add.3965ca12a22b29bdf182840bf0457eda.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/9897712/add.328779f271a067b42547a74b48d380f8.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14202382/add.acecd5c7a43e14208197a3a8546029a7.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14727395/add.30149efca0e0f33427fe1c638b0671ce.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/9897712/add.9a09e4894a3a2e55f304182f7cbb206c.realty-api-vos/large'}]",https://realty.ya.ru/offer/2534694786472309504/,70000.0,2025-01-07 17:01:00,Частное лицо,Башкортостан,,"улица Калинина, 1/2",Сдам,realty.yandex.ru,Сдам,,0.0,Башкортостан,село Иглино,54.827904,56.404884,Сдам,Торговое помещение,50.0,1.0,1.0,Торговое помещение,50.0,1.0,2025.0,,,,,,,,,2025-01-07 17:08:18,2025-01-07 17:08:18,1.0,,,,,1400.0,,,,,1400.0,1
"Офис в Башкортостан, Уфимский район, с. Чесноковка Школьная ул., 2/2 (36 м²)","[{'imgurl': 'https://images.cdn-cian.ru/images/2349667255-1.jpg'}, {'imgurl': 'https://images.cdn-cian.ru/images/2349670357-1.jpg'}, {'imgurl': 'https://images.cdn-cian.ru/images/2349670361-1.jpg'}, {'imgurl': 'https://images.cdn-cian.ru/images/2349670399-1.jpg'}, {'imgurl': 'https://images.cdn-cian.ru/images/2349670362-1.jpg'}, {'imgurl': 'https://images.cdn-cian.ru/images/2349670364-1.jpg'}]",https://www.cian.ru/rent/commercial/311222313,24850.0,2025-01-07 10:28:21,Частное лицо,Башкортостан,,"Школьная ул., 2/2",Сдам,cian.ru,Сдам,,0.0,Башкортостан,Уфимский район,54.617378,55.929487,Сдам,Офисное помещение,36.0,2.0,4.0,Офисное помещение,36.0,2.0,2025.0,,,,,,,,,2024-12-13 09:31:16,2025-01-07 09:59:30,1.0,,,,,690.2777777777778,,55.7076278,54.7209784,18.33671250443805,690.2777777777778,1
Помещение свободного назначения (320 м²),"[{'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14819877/add.5c4b75546117b83bcce910ec85cfabfe.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14814928/add.2cd796d5a4b86cb7106e8ffab78251de.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14373170/add.f29a643cf538f1e515582c276770c046.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/13813756/add.a597519adcd57ca8aa9bc71b3151180f.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14824781/add.781877274bb12b1ae51104060f83be61.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14202382/add.37768796c193d8d3cf125249da1d9d4d.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14767060/add.7dbef1f2f31b6bf44e4c7e95c95e23a3.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14332645/add.b600dc21e7ef9cdb7a5438a8e5a982df.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14819877/add.6df5467e8b2570ca846f3ace4453bda0.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/15229691/add.8f3dffcb50d9a2d17ca95ed8b903a942.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14896786/add.347affe123d9916e7c82e54e42a11e6c.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14819877/add.d189b38e4ef04996c367c6d3d96b1513.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/13813756/add.f0a99c094584d3cb901cf4ad0f8f6f01.realty-api-vos/large'}]",https://realty.ya.ru/offer/6267617504384447232/,112000.0,2025-01-20 19:04:25,Частное лицо,Башкортостан,,"улица Ленина, 5",Сдам,realty.yandex.ru,Сдам,,0.0,Башкортостан,Белебей,54.106636,54.103924,Сдам,Помещение свободного назначения,320.0,0.0,5.0,Помещение свободного назначения,320.0,0.0,2025.0,,,,,,,,,2025-01-20 19:18:35,2025-01-20 19:18:35,1.0,,,,,350.0,,54.107811,54.106495,0.2538831922040428,350.0,1
Торговая площадь (150 м²),"[{'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14767060/add.a080aab21185fc01ed4306a9aa88eb36.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/13814138/add.54dfaeca89c0bc695f687d09f187194b.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14885322/add.131a988e0f8d969a3860d0b370ffe4e3.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14546183/add.7f7cd0445cfe0f0f9f6eaa1c01d230df.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/13538070/add.eef65d315fafd9855008f209b0329bb9.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14918062/add.27bf391946703311265ba1c18c46f40b.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/15057490/add.dce85bf1764e7f653ee2f7c472f3883e.realty-api-vos/large'}]",https://realty.ya.ru/offer/1017550673257601536/,120000.0,2025-01-20 19:01:07,Частное лицо,Башкортостан,,"Пионерская улица, 58",Сдам,realty.yandex.ru,Сдам,,0.0,Башкортостан,Белебей,54.107735,54.1034,Сдам,Торговое помещение,150.0,1.0,3.0,Торговое помещение,150.0,1.0,2025.0,,,,,,,,,2025-01-20 19:05:18,2025-01-20 19:05:18,1.0,,,,,800.0,,54.107811,54.106495,0.3189032381072208,800.0,1
Офис (32.1 м²),"[{'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/9896606/add.00c5cf9d87695e1126c6b433d69b78fa.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14918062/add.42bbe48ba0d7158e2f085e4e7d5f710c.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14385517/add.8e4efcee04e593483100bd454b5c9703.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/9896606/add.95ffc4b5b982650aea78b82785fa87d8.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14385517/add.a0ccb511d328ec3fad4871e11dcee059.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/14375871/add.4a231fee0dca8704262360cbcc2afe52.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/15057490/add.5f758eff8ba1760cdc30a2983c3b03af.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/15317712/add.b7f5305540a684bafefc63faac21bcca.realty-api-vos/large'}, {'imgurl': 'https://avatars.mds.yandex.net/get-realty-offers/12738695/add.9bdae52df4d098ced822f096674796e3.realty-api-vos/large'}]",https://realty.ya.ru/offer/5039427098546435072/,16050.0,2025-01-20 18:59:21,Частное лицо,Башкортостан,,"улица Войкова, 144",Сдам,realty.yandex.ru,Сдам,,0.0,Башкортостан,Белебей,54.112045,54.109158,Сдам,Офисное помещение,32.1,1.0,2.0,Офисное помещение,32.1,1.0,2025.0,,,,,,,,,2025-01-20 19:26:58,2025-01-20 19:26:58,1.0,,,,,500.0,,54.107811,54.106495,0.6233472345077141,500.0,1
"Офис в Башкортостан, Нефтекамск ул. Ленина, 21/1 (187 м²)","[{'imgurl': 'https://images.cdn-cian.ru/images/ofis-neftekamsk-ulica-lenina-2304195992-1.jpg'}, {'imgurl': 'https://images.cdn-cian.ru/images/ofis-neftekamsk-ulica-lenina-2304195998-1.jpg'}, {'imgurl': 'https://images.cdn-cian.ru/images/ofis-neftekamsk-ulica-lenina-2304221180-1.jpg'}, {'imgurl': 'https://images.cdn-cian.ru/images/ofis-neftekamsk-ulica-lenina-2304196011-1.jpg'}]",https://www.cian.ru/rent/commercial/308963550,149520.0,2025-01-19 15:27:58,Частное лицо,Башкортостан,,"ул. Ленина, 21/1",Сдам,cian.ru,Сдам,,0.0,Башкортостан,Нефтекамск,56.092376,54.236935,Сдам,Офисное помещение,187.0,1.0,4.0,Офисное помещение,187.0,1.0,2025.0,Административное здание,,,,,,,,2024-10-22 23:01:45,2025-01-19 15:23:54,1.0,,,,,799.572192513369,,54.2478094,56.0884031,0.8063607737088564,799.572192513369,1
